rank	stars	full_name	language	url	description
1	17525	louis-e/arnis	Rust	https://github.com/louis-e/arnis	Generate any location from the real world in Minecraft with a high level of detail.
2	15142	organicmaps/organicmaps	C++	https://github.com/organicmaps/organicmaps	🍃 Organic Maps is a free Android & iOS offline maps app for more than 6M travelers, tourists, hikers, and cyclists. It uses crowd-sourced OpenStreetMap data and is developed with love by the community. No ads, no tracking, no data collection, no crapware. Please donate to support the development!
3	13956	originalankur/maptoposter	Python	https://github.com/originalankur/maptoposter	Transform your favorite cities into beautiful, minimalist designs. MapToPoster lets you create and export visually striking map posters with code.
4	12794	marceloprates/prettymaps	Python	https://github.com/marceloprates/prettymaps	Draw pretty maps from OpenStreetMap data! Built with osmnx +matplotlib + shapely
5	11995	autowarefoundation/autoware	Dockerfile	https://github.com/autowarefoundation/autoware	Autoware - the world's leading open-source software project for autonomous driving
6	9302	domlysz/BlenderGIS	Python	https://github.com/domlysz/BlenderGIS	Blender addons to make the bridge between Blender and geographic data
7	9222	rastapasta/mapscii	JavaScript	https://github.com/rastapasta/mapscii	🗺  MapSCII is a Braille & ASCII world map renderer for your console - enter => telnet mapscii.me <= on Mac (brew install telnet) and Linux, connect with PuTTY on Windows
8	8855	teslamate-org/teslamate	Elixir	https://github.com/teslamate-org/teslamate	A self-hosted data logger for your Tesla  🚘 [main maintainer=@JakobLichterfeld]
9	8184	OpenTTD/OpenTTD	C++	https://github.com/OpenTTD/OpenTTD	OpenTTD is an open source simulation game based upon Transport Tycoon Deluxe
10	8153	a-b-street/abstreet	Rust	https://github.com/a-b-street/abstreet	Transportation planning and traffic simulation software for creating cities friendlier to walking, biking, and public transit
11	7986	Project-OSRM/osrm-backend	C++	https://github.com/Project-OSRM/osrm-backend	Open Source Routing Machine - C++ backend
12	7861	recastnavigation/recastnavigation	C++	https://github.com/recastnavigation/recastnavigation	Industry-standard navigation-mesh toolset for games
13	6637	graphhopper/graphhopper	Java	https://github.com/graphhopper/graphhopper	Open source routing engine for OpenStreetMap. Use it as Java library or standalone web server.
14	6083	valhalla/valhalla	C++	https://github.com/valhalla/valhalla	Open Source Routing Engine for OpenStreetMap
15	5902	Azgaar/Fantasy-Map-Generator	HTML	https://github.com/Azgaar/Fantasy-Map-Generator	Web application generating interactive and highly customizable maps
16	5836	RodZill4/material-maker	GDScript	https://github.com/RodZill4/material-maker	A procedural textures authoring and 3D model painting tool based on the Godot game engine
17	5816	gboeing/osmnx	Python	https://github.com/gboeing/osmnx	Download, model, analyze, and visualize street networks and other geospatial features from OpenStreetMap.
18	5804	hyperknot/openfreemap	Python	https://github.com/hyperknot/openfreemap	Free and open-source map hosting solution with custom styles for websites and apps, using OpenStreetMap data
19	4759	streetcomplete/StreetComplete	Kotlin	https://github.com/streetcomplete/StreetComplete	Easy to use OpenStreetMap editor for Android
20	4454	mapbox/mapbox-gl-native	C++	https://github.com/mapbox/mapbox-gl-native	Interactive, thoroughly customizable maps in native Android, iOS, macOS, Node.js, and Qt applications, powered by vector tiles and OpenGL
21	4421	osm-search/Nominatim	Python	https://github.com/osm-search/Nominatim	Open Source search based on OpenStreetMap data
22	4134	eclipse-sumo/sumo	Python	https://github.com/eclipse-sumo/sumo	Eclipse SUMO is an open source, highly portable, microscopic and continuous traffic simulation package designed to handle large networks. It allows for intermodal simulation including pedestrians and comes with a large set of tools for scenario creation.
23	3940	yousifamanuel/terraink	TypeScript	https://github.com/yousifamanuel/terraink	Terraink: The Cartographic Poster Engine that creates unique and customizable map posters
24	3858	openstreetmap/iD	JavaScript	https://github.com/openstreetmap/iD	🆔 The easy-to-use OpenStreetMap editor in JavaScript.
25	3529	alyssaxuu/mapus	JavaScript	https://github.com/alyssaxuu/mapus	A map tool with real-time collaboration 🗺️
26	3152	tilemill-project/tilemill	JavaScript	https://github.com/tilemill-project/tilemill	TileMill is a modern map design studio
27	3142	openmaptiles/openmaptiles	PLpgSQL	https://github.com/openmaptiles/openmaptiles	OpenMapTiles Vector Tile Schema Implementation
28	3087	Unity-Technologies/NavMeshComponents	C#	https://github.com/Unity-Technologies/NavMeshComponents	High Level API Components for Runtime NavMesh Building
29	2995	komoot/photon	Java	https://github.com/komoot/photon	an open source geocoder for openstreetmap data
30	2961	headwaymaps/headway	Rust	https://github.com/headwaymaps/headway	Self-hostable maps stack, powered by OpenStreetMap.
31	2810	openstreetmap/openstreetmap-website	Ruby	https://github.com/openstreetmap/openstreetmap-website	The Rails application that powers OpenStreetMap
32	2456	lgsvl/simulator	C#	https://github.com/lgsvl/simulator	A ROS/ROS2 Multi-robot Simulator for Autonomous Vehicles
33	2330	h8man/NavMeshPlus	C#	https://github.com/h8man/NavMeshPlus	Unity NavMesh 2D Pathfinding
34	2190	SimonBrazell/privacy-redirect	JavaScript	https://github.com/SimonBrazell/privacy-redirect	A simple web extension that redirects Twitter, YouTube, Instagram & Google Maps requests to privacy friendly alternatives.
35	2144	onthegomap/planetiler	Java	https://github.com/onthegomap/planetiler	Flexible tool to build planet-scale vector tilesets from OpenStreetMap data fast
36	2094	vvoovv/blosm		https://github.com/vvoovv/blosm	Blosm addon for Blender. A few clicks import of Google 3D cities, OpenStreetMap, terrain. Global coverage. Source code is in the branch 'release'.
37	2064	mapbox/robosat	Python	https://github.com/mapbox/robosat	 Semantic segmentation on aerial and satellite imagery. Extracts features such as: buildings, parking lots, roads, water, clouds
38	2057	luka1199/geo-heatmap	Python	https://github.com/luka1199/geo-heatmap	:world_map: Generate an interactive geo heatmap from your Google location data
39	1952	GIScience/openrouteservice	Java	https://github.com/GIScience/openrouteservice	🌍 The open source route planner api with plenty of features.
40	1891	gdquest-demos/godot-4-procedural-generation	GDScript	https://github.com/gdquest-demos/godot-4-procedural-generation	Procedural generation algorithms and demos for the Godot game engine
41	1882	gboeing/osmnx-examples	Jupyter Notebook	https://github.com/gboeing/osmnx-examples	Gallery of OSMnx tutorials, usage examples, and feature demonstrations.
42	1882	systemed/tilemaker	C++	https://github.com/systemed/tilemaker	Make OpenStreetMap vector tiles without the stack
43	1819	MobilityData/awesome-transit		https://github.com/MobilityData/awesome-transit	Community list of transit APIs, apps, datasets, research, and software :bus::star2::train::star2::steam_locomotive:
44	1794	pelicanmapping/osgearth	C	https://github.com/pelicanmapping/osgearth	3D Maps & Terrain SDK (C++)
45	1729	autowarefoundation/autoware_universe	C++	https://github.com/autowarefoundation/autoware_universe	
46	1726	openstreetmap-carto/openstreetmap-carto	CartoCSS	https://github.com/openstreetmap-carto/openstreetmap-carto	A general-purpose OpenStreetMap mapnik style, in CartoCSS
47	1678	osm2pgsql-dev/osm2pgsql	C++	https://github.com/osm2pgsql-dev/osm2pgsql	Import OpenStreetMap data into a PostgreSQL/PostGIS database
48	1623	gaea-godot/gaea	GDScript	https://github.com/gaea-godot/gaea	Procedural generation add-on for Godot 4.
49	1582	umap-project/umap	JavaScript	https://github.com/umap-project/umap	uMap lets you create maps with OpenStreetMap layers in a minute and embed them in your site.
